food_id,name,meal_types,ingredients,serving_size_g,calories_kcal,protein_g,carb_g,fat_g,sugar_g,fiber_g,sodium_mg,purine_level,cost_estimate,diet_tags,source,source_version,quality_flags
F001,Phở bò,breakfast|lunch|dinner,rice_noodle|beef|onion|scallion|ginger|fish_sauce,450,420,28,52,12,3,2,980,moderate,45000,vietnamese,ProteinNAP,v1,
F002,Phở gà,breakfast|lunch|dinner,rice_noodle|chicken|onion|scallion|ginger|fish_sauce,450,380,25,50,10,2,2,850,low,40000,vietnamese,ProteinNAP,v1,
F003,Bún bò Huế,breakfast|lunch|dinner,rice_noodle|beef|pork|lemongrass|chili|shrimp_paste,500,520,30,55,20,4,3,1200,high,50000,vietnamese|spicy,ProteinNAP,v1,
F004,Bún chả,lunch|dinner,rice_noodle|pork|lettuce|herbs|fish_sauce,450,480,22,58,18,8,3,1100,moderate,45000,vietnamese,ProteinNAP,v1,
F005,Bánh mì thịt,breakfast|lunch,baguette|pork|pate|cucumber|pickled_carrot|cilantro,250,450,18,52,18,5,3,1050,moderate,25000,vietnamese,ProteinNAP,v1,
F006,Cơm tấm sườn,lunch|dinner,rice|pork_rib|egg|pickled_vegetables|fish_sauce,500,650,30,72,25,5,2,1100,moderate,45000,vietnamese,ProteinNAP,v1,
F007,Cơm gà,breakfast|lunch|dinner,rice|chicken|ginger|fish_sauce|cucumber,450,550,28,65,18,2,1,900,low,40000,vietnamese,ProteinNAP,v1,
F008,Cháo gà,breakfast|dinner,rice|chicken|ginger|scallion|fish_sauce,400,320,20,40,8,1,1,750,low,35000,vietnamese,ProteinNAP,v1,
F009,Xôi đậu xanh,breakfast,sticky_rice|mung_bean|salt|sugar,250,380,12,65,8,5,3,200,low,20000,vietnamese|vegetarian,ProteinNAP,v1,
F010,Xôi gà,breakfast|lunch,sticky_rice|chicken|fried_onion,300,450,22,55,15,2,2,650,low,30000,vietnamese,ProteinNAP,v1,
F011,Gỏi cuốn,lunch|dinner|snack,rice_paper|shrimp|pork|lettuce|herbs|rice_noodle,200,180,12,22,5,2,2,400,low,25000,vietnamese,ProteinNAP,v1,
F012,Chả giò,lunch|dinner|snack,rice_paper|pork|carrot|mushroom|glass_noodle,150,320,12,28,18,2,2,600,moderate,30000,vietnamese,ProteinNAP,v1,
F013,Canh chua cá,lunch|dinner,fish|tomato|pineapple|bean_sprout|tamarind|herbs,350,280,22,20,12,6,3,800,moderate,40000,vietnamese|seafood,ProteinNAP,v1,
F014,Canh rau muống,lunch|dinner,water_spinach|garlic|fish_sauce,300,80,4,8,3,2,3,600,low,15000,vietnamese|vegetarian,ProteinNAP,v1,
F015,Cá kho tộ,lunch|dinner,catfish|coconut_water|fish_sauce|sugar|pepper,300,350,28,15,20,8,1,1200,moderate,45000,vietnamese,ProteinNAP,v1,
F016,Thịt kho tàu,lunch|dinner,pork_belly|egg|coconut_water|fish_sauce|sugar,350,480,25,18,35,6,0,1100,moderate,50000,vietnamese,ProteinNAP,v1,
F017,Gà kho gừng,lunch|dinner,chicken|ginger|fish_sauce|sugar,300,320,28,8,18,3,0,950,low,40000,vietnamese,ProteinNAP,v1,
F018,Tôm rang,lunch|dinner,shrimp|garlic|fish_sauce|sugar|scallion,250,280,25,10,15,4,0,900,high,55000,vietnamese|seafood,ProteinNAP,v1,
F019,Đậu hũ sốt cà,lunch|dinner,tofu|tomato|scallion|fish_sauce,250,220,15,12,14,4,2,700,low,20000,vietnamese|vegetarian,ProteinNAP,v1,
F020,Rau muống xào tỏi,lunch|dinner,water_spinach|garlic|oil|fish_sauce,200,120,4,8,8,2,3,550,low,15000,vietnamese|vegetarian,ProteinNAP,v1,
F021,Cơm chiên dương châu,lunch|dinner,rice|egg|shrimp|pork|carrot|pea|scallion,400,520,20,62,22,3,3,1000,moderate,40000,vietnamese,ProteinNAP,v1,
F022,Mì xào bò,lunch|dinner,wheat_noodle|beef|vegetables|soy_sauce|oyster_sauce,400,480,25,52,18,4,3,1200,moderate,45000,vietnamese,ProteinNAP,v1,
F023,Hủ tiếu,breakfast|lunch|dinner,rice_noodle|pork|shrimp|bean_sprout|herbs|fish_sauce,450,400,22,48,14,3,2,950,moderate,35000,vietnamese,ProteinNAP,v1,
F024,Bánh cuốn,breakfast,rice_sheet|pork|mushroom|fish_sauce|herbs,250,300,12,38,12,2,1,700,low,25000,vietnamese,ProteinNAP,v1,
F025,Bún riêu,breakfast|lunch,rice_noodle|crab|tomato|tofu|herbs|fish_sauce,450,380,20,45,14,5,3,1050,high,40000,vietnamese|seafood,ProteinNAP,v1,
F026,Chè đậu xanh,snack,mung_bean|sugar|coconut_milk,200,250,6,42,8,28,2,50,low,15000,vietnamese|vegetarian,ProteinNAP,v1,
F027,Chè ba màu,snack,red_bean|mung_bean|jelly|sugar|coconut_milk|ice,300,320,8,55,10,35,3,80,low,20000,vietnamese|vegetarian,ProteinNAP,v1,
F028,Trái cây dĩa,snack,mango|watermelon|pineapple|dragon_fruit,250,150,2,38,1,28,4,10,low,25000,vietnamese|vegetarian,ProteinNAP,v1,
F029,Sữa đậu nành,breakfast|snack,soy_milk|sugar,250,120,7,15,4,12,1,80,low,10000,vietnamese|vegetarian,ProteinNAP,v1,
F030,Bánh bao,breakfast|snack,wheat_flour|pork|egg|mushroom,150,320,12,38,14,3,2,650,moderate,15000,vietnamese,ProteinNAP,v1,
F031,Cơm chay,lunch|dinner,rice|tofu|vegetables|mushroom|soy_sauce,400,380,15,58,10,5,6,800,low,30000,vietnamese|vegetarian,ProteinNAP,v1,
F032,Phở chay,breakfast|lunch|dinner,rice_noodle|tofu|vegetables|mushroom,400,300,12,45,8,3,4,700,low,35000,vietnamese|vegetarian,ProteinNAP,v1,
F033,Bò lúc lắc,lunch|dinner,beef|bell_pepper|onion|garlic|soy_sauce|oyster_sauce,300,420,32,12,28,3,2,1000,moderate,65000,vietnamese,ProteinNAP,v1,
F034,Gà nướng,breakfast|lunch|dinner,chicken|lemongrass|garlic|honey|fish_sauce,300,350,30,8,20,4,0,850,low,45000,vietnamese,ProteinNAP,v1,
F035,Cá chiên,lunch|dinner,fish|oil|fish_sauce|chili,250,380,25,5,28,1,0,800,moderate,40000,vietnamese|seafood,ProteinNAP,v1,
F036,Canh bí đỏ,lunch|dinner,pumpkin|pork|scallion|fish_sauce,300,180,10,20,8,4,3,650,low,25000,vietnamese,ProteinNAP,v1,
F037,Canh khổ qua,lunch|dinner,bitter_melon|pork|egg|fish_sauce,300,200,14,12,10,3,3,700,low,30000,vietnamese,ProteinNAP,v1,
F038,Nem nướng,lunch|dinner,pork|garlic|fish_sauce|sugar|rice_paper|herbs,250,380,20,25,22,4,1,900,moderate,40000,vietnamese,ProteinNAP,v1,
F039,Bánh xèo,lunch|dinner,rice_flour|turmeric|pork|shrimp|bean_sprout|herbs,300,420,18,38,22,2,3,800,moderate,35000,vietnamese,ProteinNAP,v1,
F040,Bún thịt nướng,lunch|dinner,rice_noodle|pork|lettuce|herbs|peanut|fish_sauce,400,450,22,52,18,5,3,950,moderate,40000,vietnamese,ProteinNAP,v1,
F041,Trứng chiên,breakfast|lunch|dinner,egg|scallion|fish_sauce|oil,150,220,14,3,17,1,0,500,low,10000,vietnamese,ProteinNAP,v1,
F042,Rau sống cuốn,lunch|dinner,lettuce|herbs|rice_paper|tofu|peanut,200,150,6,18,6,3,4,300,low,20000,vietnamese|vegetarian,ProteinNAP,v1,
F043,Lẩu thái,lunch|dinner,shrimp|squid|mushroom|vegetables|lemongrass|chili|tom_yum,600,480,30,30,25,6,4,1400,high,80000,vietnamese|seafood|spicy,ProteinNAP,v1,
F044,Cơm sườn bì,lunch|dinner,rice|pork_rib|pork_skin|egg|pickled_vegetables,500,680,32,75,28,4,2,1150,moderate,50000,vietnamese,ProteinNAP,v1,
F045,Bún mắm,breakfast|lunch,rice_noodle|fish|shrimp|pork|eggplant|fish_sauce,500,480,28,48,20,4,3,1300,high,45000,vietnamese|seafood,ProteinNAP,v1,
F046,Cháo lòng,breakfast,rice|pork_offal|ginger|scallion|fish_sauce,400,350,18,35,15,2,1,900,high,30000,vietnamese,ProteinNAP,v1,
F047,Xôi mặn,breakfast,sticky_rice|pork|sausage|fried_onion|scallion,300,480,18,58,20,3,2,750,moderate,25000,vietnamese,ProteinNAP,v1,
F048,Bánh mì ốp la,breakfast,baguette|egg|butter|cucumber|soy_sauce,200,380,15,42,16,3,2,700,low,20000,vietnamese,ProteinNAP,v1,
F049,Mì gói,breakfast|snack,instant_noodle|egg|scallion,300,380,10,48,16,2,2,1500,low,12000,vietnamese,ProteinNAP,v1,
F050,Súp cua,breakfast|snack,crab|corn|egg|cornstarch|herbs,300,220,15,20,8,3,2,750,high,35000,vietnamese|seafood,ProteinNAP,v1,
F051,Cơm rang hải sản,lunch|dinner,rice|shrimp|squid|egg|vegetables|garlic,400,480,22,55,18,3,3,1050,high,50000,vietnamese|seafood,ProteinNAP,v1,
F052,Salad gà,lunch|dinner,chicken|lettuce|tomato|cucumber|dressing,300,280,25,12,14,4,4,500,low,40000,western,ProteinNAP,v1,
F053,Pasta sốt cà,lunch|dinner,pasta|tomato|garlic|olive_oil|basil,350,420,14,62,14,6,4,600,low,35000,western|vegetarian,ProteinNAP,v1,
F054,Bò kho,breakfast|lunch|dinner,beef|carrot|lemongrass|star_anise|baguette,500,520,35,35,25,5,4,1100,moderate,55000,vietnamese|spicy,ProteinNAP,v1,
F055,Cà ri gà,lunch|dinner,chicken|potato|carrot|coconut_milk|curry_powder,450,480,28,30,28,5,3,1000,low,50000,vietnamese,ProteinNAP,v1,
F056,Cháo thịt bằm,breakfast|dinner,rice|pork|ginger|scallion|fish_sauce,400,300,16,38,8,1,1,700,low,25000,vietnamese,ProteinNAP,v1,
F057,Bánh canh,breakfast|lunch|dinner,tapioca_noodle|pork|shrimp|scallion|fish_sauce,450,400,20,50,14,2,1,900,moderate,35000,vietnamese,ProteinNAP,v1,
F058,Nui xào bò,lunch|dinner,pasta|beef|vegetables|soy_sauce|oyster_sauce,400,480,25,50,18,4,3,1100,moderate,45000,vietnamese,ProteinNAP,v1,
F059,Bánh chưng,breakfast|snack,sticky_rice|pork|mung_bean|banana_leaf,250,400,15,52,15,3,3,600,moderate,30000,vietnamese,ProteinNAP,v1,
F060,Gỏi gà,breakfast|lunch,chicken|cabbage|onion|herbs|peanut|lime,250,250,22,12,12,3,3,500,low,35000,vietnamese,ProteinNAP,v1,
F061,Tào phớ,snack,soy_pudding|sugar|ginger|jasmine,250,150,5,28,2,20,0,30,low,10000,vietnamese|vegetarian,ProteinNAP,v1,
F062,Bánh flan,snack,egg|milk|sugar|caramel,120,180,5,25,7,22,0,80,low,15000,vietnamese,ProteinNAP,v1,
F063,Sinh tố bơ,snack,avocado|milk|sugar|ice,300,280,3,30,18,18,5,50,low,25000,vietnamese|vegetarian,ProteinNAP,v1,
F064,Nước cam,snack,orange|sugar|ice,300,120,1,30,0,25,0,10,low,15000,vietnamese|vegetarian,ProteinNAP,v1,
F065,Cà phê sữa đá,snack,coffee|condensed_milk|ice,250,150,2,25,4,22,0,30,low,15000,vietnamese,ProteinNAP,v1,
F066,Trà đá,snack,tea|ice|sugar,300,40,0,10,0,8,0,5,low,5000,vietnamese|vegetarian,ProteinNAP,v1,
F067,Cơm gà xối mỡ,lunch|dinner,rice|chicken|oil|fish_sauce|cucumber,500,620,30,68,24,2,1,950,low,45000,vietnamese,ProteinNAP,v1,
F068,Mực xào chua ngọt,lunch|dinner,squid|bell_pepper|onion|tomato|garlic|sugar|vinegar,300,320,22,15,18,5,2,850,high,55000,vietnamese|seafood,ProteinNAP,v1,
F069,Tôm sú nướng,lunch|dinner,shrimp|garlic|butter|chili|salt,250,280,28,2,18,1,0,600,high,70000,vietnamese|seafood,ProteinNAP,v1,
F070,Bò né,breakfast|lunch,beef|egg|potato|butter|bread|herbs,400,550,30,35,30,2,2,1000,moderate,55000,vietnamese,ProteinNAP,v1,
F071,Bánh mì xíu mại,breakfast|lunch,baguette|pork|tomato|onion|fish_sauce,280,420,18,48,18,5,2,950,moderate,30000,vietnamese,ProteinNAP,v1,
F072,Cháo hải sản,breakfast|dinner,rice|shrimp|squid|fish|ginger|scallion,400,320,22,35,10,1,1,850,high,45000,vietnamese|seafood,ProteinNAP,v1,
F073,Bún ốc,breakfast|lunch,rice_noodle|snail|tomato|tofu|herbs|vinegar,450,350,18,42,12,4,3,900,moderate,40000,vietnamese|seafood,ProteinNAP,v1,
F074,Canh măng,lunch|dinner,bamboo_shoot|pork|scallion|fish_sauce,300,200,12,10,12,2,4,700,low,25000,vietnamese,ProteinNAP,v1,
F075,Rau luộc thập cẩm,lunch|dinner,cabbage|carrot|morning_glory|bean_sprout,250,80,4,12,1,4,5,300,low,15000,vietnamese|vegetarian,ProteinNAP,v1,
F076,Đậu hũ chiên,lunch|dinner,tofu|oil|soy_sauce|chili,200,280,15,8,20,1,1,600,low,18000,vietnamese|vegetarian,ProteinNAP,v1,
F077,Cá hấp gừng,lunch|dinner,fish|ginger|scallion|soy_sauce|mushroom,300,250,28,5,12,2,1,700,low,40000,vietnamese,ProteinNAP,v1,
F078,Gà luộc,breakfast|lunch|dinner,chicken|ginger|salt|lime|chili,300,280,30,2,16,0,0,500,low,40000,vietnamese,ProteinNAP,v1,
F079,Thịt luộc,lunch|dinner,pork|ginger|fish_sauce|shrimp_paste,250,320,25,2,22,0,0,650,moderate,35000,vietnamese,ProteinNAP,v1,
F080,Cơm gạo lứt,lunch|dinner,brown_rice|sesame|salt,300,350,8,68,4,1,4,100,low,20000,vietnamese|vegetarian,ProteinNAP,v1,
F081,Salad rau củ,lunch|dinner,lettuce|tomato|cucumber|carrot|olive_oil|lemon,250,120,3,15,6,6,4,200,low,25000,western|vegetarian,ProteinNAP,v1,
F082,Yến mạch,breakfast,oats|milk|honey|banana,250,300,10,48,8,15,5,80,low,25000,western|vegetarian,ProteinNAP,v1,
F083,Smoothie bowl,breakfast,banana|berry|yogurt|granola|honey,300,350,12,55,10,28,6,80,low,35000,western|vegetarian,ProteinNAP,v1,
F084,Trứng luộc,breakfast|snack,egg,120,155,13,1,10,1,0,120,low,8000,vietnamese,ProteinNAP,v1,
F085,Khoai lang luộc,breakfast|snack,sweet_potato,200,180,2,42,0,6,3,30,low,10000,vietnamese|vegetarian,ProteinNAP,v1,
F086,Bắp luộc,snack,corn,200,180,5,35,2,3,4,10,low,8000,vietnamese|vegetarian,ProteinNAP,v1,
F087,Chuối,snack,banana,120,105,1,27,0,14,3,1,low,5000,vietnamese|vegetarian,ProteinNAP,v1,
F088,Xoài,snack,mango,200,120,1,30,0,28,3,5,low,15000,vietnamese|vegetarian,ProteinNAP,v1,
